interaction_id,ticket_id,agent_id,suggested_at,model_version,model_suggestion,retrieval_top1_id,retrieval_top1_score,retrieval_top3_avg,low_confidence_flag,agent_action,agent_final,edit_distance,edit_distance_ratio,dwell_seconds,agent_confidence,rationale_type,rationale_severity,rationale_suggested_change,rationale_root_cause,submitted_at,excluded_from_training
15,TKT-00027,AGT-03,2026-05-13T12:29:39,snapshot-2024-01,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00328,0.6146,0.586,1,reject,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3– [edited],86,0.5621,130,5,policy,low,Should mention refund timeline explicitly.,prompt_gap,2026-05-13T12:37:31,0
16,TKT-00509,AGT-08,2026-05-15T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00054,0.8942,0.8428,0,reject,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info wit [edited],113,0.837,84,3,policy,low,Should mention refund timeline explicitly.,model_limit,2026-05-15T12:37:35,0
17,TKT-00473,AGT-06,2026-04-29T12:29:39,snapshot-2024-06,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",TKT-00417,0.453,0.3916,1,reject,"I've unlocked your account. For security, I've also sent you a verification email. Please c [edited]",78,0.5778,87,4,hallucination,high,Should mention refund timeline explicitly.,none,2026-04-29T12:32:02,0
18,TKT-00252,AGT-03,2026-04-26T12:29:39,snapshot-2024-06,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00116,0.5057,0.4437,1,modify,I'm sorry to hear the item arrived damaged. I've initiated a replacement ship [edited],16,0.1185,36,2,policy,medium,Should mention refund timeline explicitly.,retrieval_miss,2026-04-26T12:31:18,0
19,TKT-00328,AGT-09,2026-04-28T12:29:39,snapshot-2024-03,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",TKT-00504,0.6748,0.6446,0,reject,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to re [edited]",110,0.8148,7,3,tone,medium,Should mention refund timeline explicitly.,model_limit,2026-04-28T12:35:16,0
20,TKT-00580,AGT-09,2026-05-21T12:29:39,snapshot-2024-06,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00377,0.6209,0.5475,1,reject,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking in [edited],52,0.3852,162,3,other,high,Should mention refund timeline explicitly.,model_limit,2026-05-21T12:38:42,0
21,TKT-00491,AGT-12,2026-05-25T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00466,0.5616,0.5218,1,reject,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking i [edited],82,0.6074,86,4,policy,low,Should mention refund timeline explicitly.,policy_outdated,2026-05-25T12:31:47,0
22,TKT-00479,AGT-06,2026-06-23T12:29:39,snapshot-2024-01,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00242,0.6153,0.584,1,reject,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed [edited],73,0.4771,164,4,other,low,Should mention refund timeline explicitly.,retrieval_miss,2026-06-23T12:36:37,0
23,TKT-00384,AGT-05,2026-05-14T12:29:39,snapshot-2024-03,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00443,0.7464,0.7128,0,reject,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear wit [edited],50,0.3268,83,3,other,medium,Should mention refund timeline explicitly.,model_limit,2026-05-14T12:34:06,0
24,TKT-00253,AGT-03,2026-06-19T12:29:39,snapshot-2024-03,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00357,0.7641,0.7379,0,accept,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,0,0.0,31,2,other,high,,policy_outdated,2026-06-19T12:36:17,0
25,TKT-00020,AGT-04,2026-05-18T12:29:39,snapshot-2024-01,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00600,0.8591,0.8036,0,modify,"You can export your data in CSV, JSON, or PDF formats from Settin [edited]",75,0.641,64,2,tone,high,Should mention refund timeline explicitly.,prompt_gap,2026-05-18T12:33:05,0
26,TKT-00393,AGT-03,2026-06-13T12:29:39,snapshot-2024-06,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00545,0.702,0.682,0,accept,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,0,0.0,117,4,hallucination,medium,,model_limit,2026-06-13T12:39:11,0
27,TKT-00139,AGT-06,2026-05-06T12:29:39,snapshot-2024-03,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",TKT-00166,0.5122,0.4586,1,modify,"I've unlocked your account. For security, I've also sent you a verification emai [edited]",75,0.5556,138,3,other,low,Should mention refund timeline explicitly.,none,2026-05-06T12:34:18,0
28,TKT-00174,AGT-08,2026-06-13T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00296,0.9511,0.8811,0,reject,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should r [edited],86,0.637,69,1,other,medium,Should mention refund timeline explicitly.,model_limit,2026-06-13T12:33:41,0
29,TKT-00598,AGT-04,2026-06-22T12:29:39,snapshot-2024-06,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00245,0.9091,0.8378,0,reject,I've reset your account credentials on our end. Please try the passw [edited],69,0.5565,53,4,missing_info,low,Should mention refund timeline explicitly.,retrieval_miss,2026-06-22T12:33:59,0
30,TKT-00452,AGT-06,2026-05-26T12:29:39,snapshot-2024-03,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00038,0.6413,0.6096,1,reject,I've reset your account credentials on our end. Please try the password reset flow again and  [edited],27,0.2177,8,5,missing_info,low,Should mention refund timeline explicitly.,model_limit,2026-05-26T12:38:49,0
31,TKT-00363,AGT-10,2026-05-29T12:29:39,snapshot-2024-01,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00455,0.4733,0.4116,1,modify,I've reset your account credentials on our end. Please try the password re [edited],22,0.1774,125,5,hallucination,medium,Should mention refund timeline explicitly.,prompt_gap,2026-05-29T12:38:43,0
32,TKT-00445,AGT-06,2026-05-07T12:29:39,snapshot-2024-01,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00086,0.9137,0.8487,0,accept,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,0,0.0,44,2,policy,low,,policy_outdated,2026-05-07T12:32:41,0
33,TKT-00489,AGT-04,2026-06-20T12:29:39,snapshot-2024-06,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00539,0.685,0.6224,0,modify,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed [edited],50,0.3268,9,3,missing_info,high,Should mention refund timeline explicitly.,prompt_gap,2026-06-20T12:36:54,0
34,TKT-00180,AGT-09,2026-05-21T12:29:39,snapshot-2024-01,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00037,0.4575,0.3976,1,modify,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5  [edited],39,0.2549,73,1,policy,medium,Should mention refund timeline explicitly.,retrieval_miss,2026-05-21T12:35:21,0
35,TKT-00526,AGT-05,2026-05-16T12:29:39,snapshot-2024-03,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00319,0.5553,0.505,1,accept,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,0,0.0,94,1,missing_info,medium,,none,2026-05-16T12:32:07,0
36,TKT-00506,AGT-12,2026-05-18T12:29:39,snapshot-2024-01,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00461,0.943,0.9177,0,accept,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,0,0.0,86,5,tone,low,,retrieval_miss,2026-05-18T12:34:21,0
37,TKT-00052,AGT-11,2026-05-14T12:29:39,snapshot-2024-01,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00483,0.6485,0.6236,1,reject,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive t [edited],102,0.7556,38,3,tone,medium,Should mention refund timeline explicitly.,model_limit,2026-05-14T12:33:41,0
38,TKT-00039,AGT-05,2026-06-06T12:29:39,snapshot-2024-01,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00295,0.5244,0.4855,1,accept,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,0,0.0,80,3,hallucination,medium,,retrieval_miss,2026-06-06T12:39:00,0
39,TKT-00540,AGT-11,2026-06-01T12:29:39,snapshot-2024-01,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00541,0.7567,0.7158,0,reject,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Ex [edited]",95,0.812,154,4,policy,high,Should mention refund timeline explicitly.,none,2026-06-01T12:34:14,0
40,TKT-00203,AGT-12,2026-05-10T12:29:39,snapshot-2024-06,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00289,0.6799,0.6211,0,reject,I've reset your account credentials on our end. Please try the password reset flow again and clear yo [edited],58,0.4677,73,1,other,low,Should mention refund timeline explicitly.,model_limit,2026-05-10T12:34:22,0
41,TKT-00402,AGT-08,2026-05-25T12:29:39,snapshot-2024-06,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00392,0.5882,0.5129,1,reject,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you shoul [edited],32,0.237,100,5,hallucination,high,Should mention refund timeline explicitly.,none,2026-05-25T12:31:13,0
42,TKT-00542,AGT-07,2026-06-03T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00506,0.8217,0.7639,0,accept,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,0,0.0,91,1,policy,medium,,model_limit,2026-06-03T12:33:25,0
43,TKT-00488,AGT-10,2026-05-25T12:29:39,snapshot-2024-06,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00367,0.7398,0.6747,0,modify,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → E [edited]",90,0.7692,107,4,policy,medium,Should mention refund timeline explicitly.,model_limit,2026-05-25T12:36:24,0
44,TKT-00355,AGT-02,2026-05-24T12:29:39,snapshot-2024-03,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00283,0.8096,0.7716,0,accept,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",0,0.0,73,5,hallucination,high,,retrieval_miss,2026-05-24T12:33:26,0
45,TKT-00185,AGT-03,2026-05-22T12:29:39,snapshot-2024-01,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00331,0.5382,0.5002,1,reject,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports ar [edited]",87,0.7436,90,1,tone,medium,Should mention refund timeline explicitly.,prompt_gap,2026-05-22T12:36:33,0
46,TKT-00002,AGT-05,2026-05-25T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00436,0.6599,0.6123,0,reject,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking [edited],37,0.2741,52,2,policy,medium,Should mention refund timeline explicitly.,retrieval_miss,2026-05-25T12:34:49,0
47,TKT-00006,AGT-06,2026-06-14T12:29:39,snapshot-2024-01,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00408,0.8129,0.7422,0,modify,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and [edited],35,0.2288,145,4,policy,medium,Should mention refund timeline explicitly.,policy_outdated,2026-06-14T12:38:33,0
48,TKT-00347,AGT-03,2026-05-09T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00103,0.5787,0.5037,1,modify,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive  [edited],112,0.8296,88,3,hallucination,high,Should mention refund timeline explicitly.,policy_outdated,2026-05-09T12:31:52,0
49,TKT-00241,AGT-03,2026-06-01T12:29:39,snapshot-2024-01,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00114,0.7088,0.6444,0,reject,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear w [edited],92,0.6013,97,3,other,low,Should mention refund timeline explicitly.,none,2026-06-01T12:37:26,0
50,TKT-00562,AGT-05,2026-04-26T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00330,0.491,0.4572,1,modify,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info with [edited],42,0.3111,91,4,policy,medium,Should mention refund timeline explicitly.,prompt_gap,2026-04-26T12:35:30,0
51,TKT-00091,AGT-07,2026-06-04T12:29:39,snapshot-2024-01,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00549,0.655,0.5857,0,accept,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,0,0.0,106,5,tone,medium,,retrieval_miss,2026-06-04T12:36:33,0
52,TKT-00532,AGT-03,2026-05-11T12:29:39,snapshot-2024-06,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00526,0.8383,0.7789,0,modify,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear withi [edited],55,0.3595,103,4,tone,medium,Should mention refund timeline explicitly.,policy_outdated,2026-05-11T12:37:51,0
53,TKT-00307,AGT-08,2026-05-05T12:29:39,snapshot-2024-06,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00412,0.4789,0.4334,1,reject,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been proce [edited],118,0.7712,126,3,other,medium,Should mention refund timeline explicitly.,retrieval_miss,2026-05-05T12:33:42,0
54,TKT-00258,AGT-06,2026-05-27T12:29:39,snapshot-2024-06,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00405,0.7318,0.6888,0,reject,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within [edited],15,0.098,71,2,other,high,Should mention refund timeline explicitly.,policy_outdated,2026-05-27T12:38:04,0
55,TKT-00051,AGT-10,2026-06-20T12:29:39,snapshot-2024-06,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",TKT-00502,0.6963,0.6739,0,modify,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your [edited]",21,0.1556,69,4,missing_info,high,Should mention refund timeline explicitly.,model_limit,2026-06-20T12:31:03,0
56,TKT-00534,AGT-05,2026-05-20T12:29:39,snapshot-2024-06,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00541,0.5916,0.554,1,modify,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and s [edited],56,0.366,157,1,missing_info,high,Should mention refund timeline explicitly.,retrieval_miss,2026-05-20T12:37:24,0
57,TKT-00092,AGT-11,2026-06-08T12:29:39,snapshot-2024-03,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00292,0.5429,0.4908,1,accept,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,0,0.0,75,3,hallucination,high,,none,2026-06-08T12:34:48,0
58,TKT-00407,AGT-01,2026-04-26T12:29:39,snapshot-2024-01,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00489,0.8876,0.8175,0,reject,"You can export your data in CSV, JSON, or PDF formats from Settings → D [edited]",73,0.6239,100,1,policy,high,Should mention refund timeline explicitly.,retrieval_miss,2026-04-26T12:37:10,0
59,TKT-00541,AGT-01,2026-05-22T12:29:39,snapshot-2024-01,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00516,0.9695,0.9448,0,reject,I've reset your account credentials on our end. Please try the password reset flow agai [edited],66,0.5323,70,1,hallucination,low,Should mention refund timeline explicitly.,prompt_gap,2026-05-22T12:35:06,0
60,TKT-00573,AGT-06,2026-06-04T12:29:39,snapshot-2024-06,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,TKT-00018,0.7763,0.724,0,accept,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,0,0.0,60,4,missing_info,high,,prompt_gap,2026-06-04T12:35:22,0
61,TKT-00237,AGT-05,2026-05-22T12:29:39,snapshot-2024-01,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00088,0.8059,0.7496,0,accept,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,0,0.0,58,1,hallucination,high,,prompt_gap,2026-05-22T12:35:20,0
62,TKT-00227,AGT-04,2026-06-06T12:29:39,snapshot-2024-01,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00122,0.6951,0.6277,0,reject,I've reset your account credentials on our end. Please try the password reset flow again and clear your brow [edited],43,0.3468,88,2,tone,high,Should mention refund timeline explicitly.,model_limit,2026-06-06T12:38:30,0
63,TKT-00304,AGT-01,2026-05-17T12:29:39,snapshot-2024-03,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",TKT-00188,0.673,0.6173,0,reject,"I've unlocked your account. For security, I've also sent you a verification email. Please confi [edited]",86,0.637,86,3,hallucination,low,Should mention refund timeline explicitly.,policy_outdated,2026-05-17T12:39:09,0
64,TKT-00263,AGT-11,2026-06-10T12:29:39,snapshot-2024-06,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00253,0.7321,0.7019,0,modify,I've reset your account credentials on our end. Please try the password reset flow again  [edited],19,0.1532,25,4,other,medium,Should mention refund timeline explicitly.,retrieval_miss,2026-06-10T12:34:11,0
65,TKT-00514,AGT-08,2026-05-07T12:29:39,snapshot-2024-01,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00202,0.972,0.9298,0,modify,I've reset your account credentials on our end. Please try the password reset flow aga [edited],101,0.8145,164,5,policy,high,Should mention refund timeline explicitly.,model_limit,2026-05-07T12:38:00,0
66,TKT-00403,AGT-04,2026-05-28T12:29:39,snapshot-2024-03,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00370,0.9778,0.9564,0,modify,"You can export your data in CSV, JSON, or PDF formats from S [edited]",77,0.6581,142,2,hallucination,high,Should mention refund timeline explicitly.,retrieval_miss,2026-05-28T12:32:18,0
67,TKT-00446,AGT-12,2026-05-29T12:29:39,snapshot-2024-03,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00497,0.5657,0.4862,1,reject,I've reset your account credentials on our end. Please try the password reset flow again and clear your [edited],35,0.2823,109,3,policy,medium,Should mention refund timeline explicitly.,none,2026-05-29T12:35:24,0
68,TKT-00525,AGT-09,2026-06-03T12:29:39,snapshot-2024-03,I've reset your account credentials on our end. Please try the password reset flow again and clear your browser cache first.,TKT-00075,0.8584,0.8006,0,reject,I've reset your account credentials on our end. Please try the password reset flow [edited],83,0.6694,108,4,hallucination,medium,Should mention refund timeline explicitly.,policy_outdated,2026-06-03T12:33:19,0
69,TKT-00201,AGT-06,2026-04-25T12:29:39,snapshot-2024-03,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",TKT-00510,0.9129,0.8689,0,accept,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",0,0.0,49,1,hallucination,high,,policy_outdated,2026-04-25T12:37:47,0
70,TKT-00536,AGT-10,2026-05-28T12:29:39,snapshot-2024-06,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,TKT-00038,0.5501,0.5284,1,accept,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,0,0.0,25,5,other,high,,policy_outdated,2026-05-28T12:31:02,0
71,TKT-00447,AGT-06,2026-06-03T12:29:39,snapshot-2024-01,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",TKT-00011,0.7732,0.7432,0,reject,"I've unlocked your account. For security, I've also sent you a verification email. [edited]",26,0.1926,158,4,other,high,Should mention refund timeline explicitly.,prompt_gap,2026-06-03T12:33:24,0
72,TKT-00063,AGT-12,2026-05-25T12:29:39,snapshot-2024-01,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",TKT-00392,0.6456,0.5731,1,accept,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",0,0.0,38,3,tone,low,,prompt_gap,2026-05-25T12:38:31,0
