signal_id,interaction_id,signal_category,signal_severity,fixable,fix_type,signal_summary,extracted_by,extracted_at,human_quality_rating,silent_failure,audited_by,audited_at,used_in_index_rebuild,used_in_prompt_update,prompt_version_after
47,7,missing_context,medium,1,index_update,Model cited an outdated return policy version.,signal_extractor_v1,2026-05-31T12:29:39,2,1,AGT-09,2026-06-14T12:29:39,0,0,
48,59,retrieval_miss,high,1,index_update,Response was correct but agent added empathy phrasing.,signal_extractor_v1,2026-06-20T12:29:39,,0,,,0,0,
49,60,missing_context,medium,1,none,Tone was too formal for a chat channel interaction.,signal_extractor_v1,2026-06-11T12:29:39,,0,,,1,1,
50,9,other,critical,1,none,Response was correct but agent added empathy phrasing.,signal_extractor_v1,2026-05-31T12:29:39,,0,,,1,0,
51,53,hallucination,high,1,index_update,Model cited an outdated return policy version.,human_auditor,2026-06-19T12:29:39,0,1,AGT-03,2026-06-11T12:29:39,0,1,
52,44,missing_context,critical,1,none,Missing context about customer's previous escalation history.,human_auditor,2026-06-21T12:29:39,,0,,,0,1,
53,28,retrieval_miss,critical,1,prompt_update,Missing context about customer's previous escalation history.,human_auditor,2026-06-19T12:29:39,2,1,AGT-06,2026-06-23T12:29:39,0,1,prompt-v3.9
54,75,other,critical,1,index_update,Tone was too formal for a chat channel interaction.,signal_extractor_v1,2026-06-06T12:29:39,,0,,,1,0,
55,29,wrong_tone,high,1,both,Response hallucinated a 48-hour resolution SLA that does not exist.,human_auditor,2026-06-10T12:29:39,2,0,AGT-12,2026-06-12T12:29:39,1,1,prompt-v1.6
56,36,correct_but_edited,low,0,none,Missing context about customer's previous escalation history.,human_auditor,2026-05-28T12:29:39,2,1,AGT-07,2026-06-23T12:29:39,0,1,
57,2,correct_but_edited,high,1,both,Model reached token limit and truncated the policy explanation.,human_auditor,2026-06-12T12:29:39,,0,,,0,0,prompt-v3.8
58,80,other,critical,1,index_update,Missing context about customer's previous escalation history.,human_auditor,2026-06-02T12:29:39,1,0,AGT-12,2026-06-16T12:29:39,1,1,
59,19,hallucination,low,0,none,Response hallucinated a 48-hour resolution SLA that does not exist.,signal_extractor_v1,2026-06-12T12:29:39,2,1,AGT-07,2026-06-12T12:29:39,0,1,
60,17,wrong_policy,critical,1,none,Model reached token limit and truncated the policy explanation.,human_auditor,2026-06-02T12:29:39,,0,,,0,0,
