ticket_id,created_at,closed_at,channel,product,category,issue_subtype,priority,status,customer_text,agent_response,resolution_time_seconds,first_contact_resolved,escalated_to,sla_breach,pii_flag,pii_entities_found,anonymized_at,is_gold_example,gold_signal,source,kb_refs,data_consent,retention_expires_at,language
TKT-00317,2025-01-15T12:29:39,2025-01-15T23:16:23,chat,CloudSync,technical,login_fail,critical,closed,Two-factor authentication stopped working. I'm not receiving the SMS codes.,I've triggered a manual sync on your account. Please allow up to 30 minutes and then refresh your devices.,38804,0,senior_support,1,0,,2025-01-15T12:29:39,0,agent_corrected,bitext,,1,2028-01-15,hi
TKT-00242,2025-11-18T12:29:39,,web,ProPlan,other,complaint,high,pending,What integrations do you support with third-party project management tools?,"We retain account data for 90 days after closure, after which it is permanently deleted per our privacy policy.",34482,0,senior_support,1,0,,2025-11-18T12:29:39,0,reviewer_confirmed,synthetic,KB-21;KB-14,1,2028-11-17,en
TKT-00305,2026-03-15T12:29:39,2026-03-15T14:10:42,chat,DataVault,billing,invoice_error,medium,closed,I need a refund for last month. The service was down for 3 days and I couldn't use it.,I've reviewed the service outage and applied a prorated credit to your account for the 3 days of downtime.,6063,1,senior_support,0,0,,2026-03-15T12:29:39,0,,synthetic,KB-19;KB-24;KB-5,1,2029-03-14,hi
TKT-00254,2025-06-24T12:29:39,2025-06-24T16:07:57,phone,BasicPlan,account,account_deletion,critical,closed,I can't update my billing address in the profile settings. The save button doesn't work.,I've updated your email address. You'll receive a confirmation at both addresses. Please verify the new one within 24 hours.,13098,1,billing_team,0,0,,2025-06-24T12:29:39,1,,bitext,KB-2;KB-13,1,2028-06-23,en
TKT-00013,2026-02-17T12:29:39,,email,EnterpriseSuite,account,account_locked,medium,escalated,I need to change the email address on my account. The old one no longer exists.,I've adjusted your account permissions to allow team invitations. Please try again and let me know if you need further help.,16131,0,,0,0,,2026-02-17T12:29:39,1,,internal,KB-8,1,2029-02-16,en
TKT-00372,2025-04-24T12:29:39,,social,EnterpriseSuite,other,general_inquiry,medium,pending,I'd like to export all my data before I cancel. What formats are available?,"You can export your data in CSV, JSON, or PDF formats from Settings → Data → Export. Exports are ready within 1 hour.",19460,0,senior_support,0,0,,2025-04-24T12:29:39,1,agent_corrected,synthetic,KB-1;KB-6,1,2028-04-23,en
TKT-00346,2026-04-29T12:29:39,2026-04-29T17:08:33,web,MobileApp,account,account_deletion,high,resolved,I need to add a team member to my account but the invite option is greyed out.,I've adjusted your account permissions to allow team invitations. Please try again and let me know if you need further help.,16734,0,,0,0,,2026-04-29T12:29:39,0,agent_corrected,synthetic,,1,2029-04-28,en
TKT-00488,2025-10-03T12:29:39,2025-10-04T11:57:02,web,CloudSync,billing,duplicate_charge,critical,closed,I was charged twice for my subscription this month. Please refund the duplicate charge immediately.,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,84443,1,billing_team,1,1,PERSON;EMAIL_ADDRESS,2025-10-03T12:29:39,0,agent_corrected,internal,KB-20;KB-21,1,2028-10-02,en
TKT-00445,2025-11-11T12:29:39,2025-11-12T10:16:40,email,CloudSync,other,feature_request,medium,closed,I'd like to file a formal complaint about the service outage last weekend.,I've logged your formal complaint and our quality assurance team will follow up within 2 business days.,78421,0,,1,1,PERSON;EMAIL_ADDRESS,2025-11-11T12:29:39,0,reviewer_confirmed,bitext,KB-24;KB-4;KB-11,1,2028-11-10,hi
TKT-00022,2025-12-16T12:29:39,2025-12-16T21:48:27,email,ProPlan,technical,password_reset,critical,closed,I can't log into my account. It keeps saying invalid password even after I reset it.,I've triggered a manual sync on your account. Please allow up to 30 minutes and then refresh your devices.,33528,0,senior_support,1,0,,2025-12-16T12:29:39,0,,synthetic,KB-22;KB-4,1,2028-12-15,hi
TKT-00139,2025-11-25T12:29:39,,social,DataVault,billing,invoice_error,medium,pending,My invoice shows an incorrect amount. I should be on the basic plan but was billed for enterprise.,I've reviewed the service outage and applied a prorated credit to your account for the 3 days of downtime.,55555,0,billing_team,1,0,,2025-11-25T12:29:39,0,reviewer_confirmed,synthetic,KB-4;KB-9,1,2028-11-24,en
TKT-00436,2025-04-07T12:29:39,2025-04-08T04:09:03,chat,EnterpriseSuite,other,data_export,high,resolved,I have a suggestion: it would be great if you added dark mode to the mobile app.,Thank you for the dark mode suggestion! I've submitted it to our product team. We regularly review user feedback for roadmap planning.,56364,0,,1,1,PERSON;EMAIL_ADDRESS,2025-04-07T12:29:39,0,agent_corrected,synthetic,KB-3;KB-5;KB-24,1,2028-04-06,en
TKT-00089,2026-04-09T12:29:39,2026-04-10T07:50:30,phone,EnterpriseSuite,returns,refund_not_received,high,closed,I'd like to exchange this for a different size. How do I initiate an exchange?,I've initiated an exchange request. Please use the prepaid label attached and your new size will ship within 2 business days.,69651,0,billing_team,1,1,PHONE_NUMBER,2026-04-09T12:29:39,0,agent_corrected,internal,,1,2029-04-08,en
TKT-00424,2026-01-06T12:29:39,2026-01-07T04:39:38,social,ProPlan,account,profile_update,high,closed,I can't update my billing address in the profile settings. The save button doesn't work.,"I've unlocked your account. For security, I've also sent you a verification email. Please confirm your identity to restore full access.",58199,1,billing_team,1,1,PHONE_NUMBER,2026-01-06T12:29:39,0,,bitext,KB-2;KB-8,1,2029-01-05,hi
TKT-00252,2025-01-06T12:29:39,,chat,EnterpriseSuite,billing,duplicate_charge,high,escalated,I cancelled my subscription 2 weeks ago but still got charged. Please reverse this.,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,78674,0,billing_team,1,0,,2025-01-06T12:29:39,0,reviewer_confirmed,internal,KB-13,1,2028-01-06,en
TKT-00146,2025-09-11T12:29:39,2025-09-12T08:52:12,web,ProPlan,technical,login_fail,critical,closed,I can't log into my account. It keeps saying invalid password even after I reset it.,I've triggered a manual sync on your account. Please allow up to 30 minutes and then refresh your devices.,73353,1,,1,0,,2025-09-11T12:29:39,0,,synthetic,KB-10;KB-4;KB-13,1,2028-09-10,en
TKT-00133,2025-01-16T12:29:39,2025-01-17T00:21:07,web,ProPlan,returns,exchange_request,medium,closed,I returned my item 2 weeks ago but still haven't received my refund. Where is my money?,I've initiated an exchange request. Please use the prepaid label attached and your new size will ship within 2 business days.,42688,1,,1,1,PERSON;EMAIL_ADDRESS,2025-01-16T12:29:39,0,reviewer_confirmed,bitext,KB-8;KB-11,1,2028-01-16,en
TKT-00330,2026-04-16T12:29:39,,chat,ProPlan,billing,upgrade_billing,medium,escalated,I cancelled my subscription 2 weeks ago but still got charged. Please reverse this.,I've corrected your billing to the Basic Plan. The difference has been refunded to your original payment method.,67030,0,billing_team,1,1,PHONE_NUMBER,2026-04-16T12:29:39,0,,internal,KB-21,1,2029-04-15,hi
TKT-00316,2025-09-30T12:29:39,,web,ProPlan,other,complaint,critical,pending,I'd like to file a formal complaint about the service outage last weekend.,Thank you for the dark mode suggestion! I've submitted it to our product team. We regularly review user feedback for roadmap planning.,74009,1,,1,1,PHONE_NUMBER,2025-09-30T12:29:39,0,reviewer_confirmed,synthetic,,1,2028-09-29,en
TKT-00308,2025-10-01T12:29:39,,email,DataVault,billing,duplicate_charge,critical,pending,I need a refund for last month. The service was down for 3 days and I couldn't use it.,I've corrected the billing error. You were incorrectly charged the enterprise rate. A partial refund has been issued.,59353,0,billing_team,1,0,,2025-10-01T12:29:39,0,,synthetic,KB-11,1,2028-09-30,hi
TKT-00437,2025-09-11T12:29:39,2025-09-11T18:01:12,social,CloudSync,billing,subscription_cancel,medium,resolved,I was charged twice for my subscription this month. Please refund the duplicate charge immediately.,I've corrected your billing to the Basic Plan. The difference has been refunded to your original payment method.,19893,1,billing_team,0,0,,2025-09-11T12:29:39,0,,synthetic,KB-12,1,2028-09-10,en
TKT-00241,2025-02-10T12:29:39,,phone,ProPlan,account,profile_update,high,pending,My account got locked and I don't know why. I need access urgently for work.,I've adjusted your account permissions to allow team invitations. Please try again and let me know if you need further help.,37199,1,,1,0,,2025-02-10T12:29:39,0,,synthetic,KB-11,1,2028-02-10,en
TKT-00418,2025-07-31T12:29:39,2025-07-31T17:40:36,phone,DataVault,technical,feature_not_working,critical,closed,My data isn't syncing between devices. Everything is stuck from 3 days ago.,"I've flagged this app crash to our engineering team. As a workaround, please try clearing the app cache from settings.",18657,0,senior_support,0,0,,2025-07-31T12:29:39,0,reviewer_confirmed,synthetic,KB-1;KB-12,1,2028-07-30,en
TKT-00298,2026-02-22T12:29:39,,chat,ProPlan,technical,app_crash,high,escalated,I can't log into my account. It keeps saying invalid password even after I reset it.,I've resent the 2FA setup link to your email. Please re-enroll your device using the new link.,28194,0,senior_support,0,0,,2026-02-22T12:29:39,0,,internal,KB-5;KB-6;KB-23,1,2029-02-21,en
TKT-00183,2025-05-21T12:29:39,,web,DataVault,billing,subscription_cancel,high,pending,I need a refund for last month. The service was down for 3 days and I couldn't use it.,I've corrected your billing to the Basic Plan. The difference has been refunded to your original payment method.,57486,0,,1,0,,2025-05-21T12:29:39,0,reviewer_confirmed,internal,KB-22;KB-19,1,2028-05-20,hi
TKT-00219,2025-10-01T12:29:39,2025-10-01T22:47:11,social,BasicPlan,account,account_deletion,high,closed,My account got locked and I don't know why. I need access urgently for work.,I've identified the bug with the save button. I've manually updated your billing address and reported the bug to our team.,37052,1,senior_support,1,0,,2025-10-01T12:29:39,0,agent_corrected,synthetic,,1,2028-09-30,en
TKT-00413,2026-04-13T12:29:39,,chat,MobileApp,technical,app_crash,high,escalated,I can't log into my account. It keeps saying invalid password even after I reset it.,I've escalated the performance issue to our infrastructure team. In the meantime try a hard refresh (Ctrl+Shift+R).,21132,0,billing_team,0,0,,2026-04-13T12:29:39,0,reviewer_confirmed,internal,KB-3;KB-12;KB-8,1,2029-04-12,en
TKT-00294,2025-12-13T12:29:39,,chat,CloudSync,technical,password_reset,critical,escalated,The dashboard is loading very slowly. It takes over 2 minutes to display anything.,I've resent the 2FA setup link to your email. Please re-enroll your device using the new link.,13107,0,senior_support,0,1,EMAIL_ADDRESS,2025-12-13T12:29:39,0,agent_corrected,bitext,KB-5,1,2028-12-12,hi
TKT-00084,2026-03-30T12:29:39,2026-03-30T23:01:01,web,CloudSync,returns,return_window_expired,critical,resolved,The item I received is damaged. The packaging was intact but the product inside is broken.,I'm sorry to hear the item arrived damaged. I've initiated a replacement shipment and you should receive tracking info within 24 hours.,37882,1,senior_support,1,0,,2026-03-30T12:29:39,0,agent_corrected,synthetic,KB-23,1,2029-03-29,en
TKT-00384,2025-12-27T12:29:39,,email,DataVault,billing,upgrade_billing,high,pending,I was charged twice for my subscription this month. Please refund the duplicate charge immediately.,I've corrected the billing error. You were incorrectly charged the enterprise rate. A partial refund has been issued.,56381,0,senior_support,1,1,PHONE_NUMBER,2025-12-27T12:29:39,0,reviewer_confirmed,internal,KB-12;KB-9;KB-24,1,2028-12-26,en
TKT-00320,2025-11-24T12:29:39,2025-11-24T14:59:14,email,EnterpriseSuite,technical,password_reset,high,resolved,The mobile app crashes every time I try to open the reports section.,I've escalated the performance issue to our infrastructure team. In the meantime try a hard refresh (Ctrl+Shift+R).,8975,1,,0,1,PHONE_NUMBER,2025-11-24T12:29:39,0,agent_corrected,internal,KB-2;KB-10;KB-7,1,2028-11-23,en
TKT-00555,2025-04-15T12:29:39,,phone,ProPlan,billing,invoice_error,medium,pending,I cancelled my subscription 2 weeks ago but still got charged. Please reverse this.,I can confirm your subscription was cancelled. The charge has been reversed and a refund issued. Please allow 3–5 business days.,26264,0,,0,1,EMAIL_ADDRESS,2025-04-15T12:29:39,0,reviewer_confirmed,bitext,,1,2028-04-14,en
TKT-00119,2025-10-14T12:29:39,,phone,DataVault,account,profile_update,high,pending,My account got locked and I don't know why. I need access urgently for work.,I've identified the bug with the save button. I've manually updated your billing address and reported the bug to our team.,52551,0,senior_support,1,1,EMAIL_ADDRESS,2025-10-14T12:29:39,0,agent_corrected,synthetic,KB-11;KB-4,1,2028-10-13,en
TKT-00395,2025-12-09T12:29:39,2025-12-09T23:17:29,web,ProPlan,technical,app_crash,high,closed,Two-factor authentication stopped working. I'm not receiving the SMS codes.,I've escalated the performance issue to our infrastructure team. In the meantime try a hard refresh (Ctrl+Shift+R).,38870,1,senior_support,1,1,PERSON;EMAIL_ADDRESS;PHONE_NUMBER,2025-12-09T12:29:39,0,agent_corrected,internal,KB-12;KB-17;KB-24,1,2028-12-08,en
TKT-00505,2025-01-23T12:29:39,2025-01-23T13:39:40,email,BasicPlan,returns,exchange_request,high,closed,I want to return this but your website says the 30-day return window has expired. Can you help?,Your refund was processed on our end. It may be delayed by your bank. Here's your refund confirmation number.,4201,0,senior_support,0,0,,2025-01-23T12:29:39,0,,bitext,KB-12;KB-15,1,2028-01-23,en
TKT-00187,2025-08-05T12:29:39,2025-08-05T17:32:26,email,ProPlan,other,feature_request,medium,closed,I'd like to file a formal complaint about the service outage last weekend.,"We support integrations with Jira, Asana, Monday.com, and Trello. You can find setup guides in our knowledge base under Integrations.",18167,1,billing_team,0,1,PHONE_NUMBER,2025-08-05T12:29:39,0,agent_corrected,bitext,KB-23;KB-15,1,2028-08-04,en
TKT-00076,2024-12-31T12:29:39,2025-01-01T10:48:18,chat,ProPlan,technical,slow_performance,critical,closed,The mobile app crashes every time I try to open the reports section.,I've escalated the performance issue to our infrastructure team. In the meantime try a hard refresh (Ctrl+Shift+R).,80319,0,senior_support,1,0,,2024-12-31T12:29:39,0,reviewer_confirmed,synthetic,KB-23;KB-3,1,2027-12-31,en
TKT-00379,2025-02-23T12:29:39,,email,BasicPlan,returns,wrong_item,medium,pending,I received the wrong item entirely. I ordered the blue model but got the red one.,Your refund was processed on our end. It may be delayed by your bank. Here's your refund confirmation number.,39435,0,,1,0,,2025-02-23T12:29:39,0,,bitext,KB-18;KB-5;KB-20,1,2028-02-23,en
TKT-00117,2026-04-22T12:29:39,2026-04-22T23:47:18,chat,EnterpriseSuite,account,profile_update,low,closed,I can't update my billing address in the profile settings. The save button doesn't work.,I've identified the bug with the save button. I've manually updated your billing address and reported the bug to our team.,40659,1,billing_team,1,0,,2026-04-22T12:29:39,0,,synthetic,KB-5,1,2029-04-21,hi
TKT-00515,2025-09-10T12:29:39,,chat,EnterpriseSuite,billing,upgrade_billing,medium,escalated,I cancelled my subscription 2 weeks ago but still got charged. Please reverse this.,I've corrected the billing error. You were incorrectly charged the enterprise rate. A partial refund has been issued.,7383,1,billing_team,0,0,,2025-09-10T12:29:39,0,reviewer_confirmed,internal,KB-5;KB-21,1,2028-09-09,en
TKT-00580,2025-07-15T12:29:39,,chat,CloudSync,billing,upgrade_billing,high,escalated,My credit card was charged $99 but the plan costs $49. Please fix this billing error.,I've reviewed your account and confirmed the duplicate charge. A refund of the full amount has been processed and should appear within 3–5 business days.,70044,0,,1,0,,2025-07-15T12:29:39,1,,synthetic,KB-21;KB-7,1,2028-07-14,hi
TKT-00565,2025-07-13T12:29:39,,chat,CloudSync,billing,subscription_cancel,critical,pending,I cancelled my subscription 2 weeks ago but still got charged. Please reverse this.,I've reviewed the service outage and applied a prorated credit to your account for the 3 days of downtime.,83873,0,,1,1,EMAIL_ADDRESS,2025-07-13T12:29:39,0,agent_corrected,bitext,KB-16;KB-15;KB-7,1,2028-07-12,en
TKT-00564,2025-07-19T12:29:39,,chat,EnterpriseSuite,technical,slow_performance,low,pending,My data isn't syncing between devices. Everything is stuck from 3 days ago.,"I've flagged this app crash to our engineering team. As a workaround, please try clearing the app cache from settings.",18950,1,,0,1,EMAIL_ADDRESS,2025-07-19T12:29:39,0,reviewer_confirmed,internal,KB-4,1,2028-07-18,en
TKT-00553,2025-12-28T12:29:39,,chat,BasicPlan,other,complaint,critical,escalated,What integrations do you support with third-party project management tools?,I've logged your formal complaint and our quality assurance team will follow up within 2 business days.,50471,1,senior_support,1,1,PERSON;EMAIL_ADDRESS;PHONE_NUMBER,2025-12-28T12:29:39,0,reviewer_confirmed,internal,,1,2028-12-27,hi
TKT-00336,2025-09-09T12:29:39,,phone,MobileApp,returns,wrong_item,critical,pending,I want to return this but your website says the 30-day return window has expired. Can you help?,I've initiated an exchange request. Please use the prepaid label attached and your new size will ship within 2 business days.,60050,0,senior_support,1,0,,2025-09-09T12:29:39,0,reviewer_confirmed,internal,KB-24;KB-12,1,2028-09-08,hi
TKT-00463,2025-11-19T12:29:39,,web,DataVault,account,account_locked,critical,escalated,I need to add a team member to my account but the invite option is greyed out.,Your account deletion request has been submitted. All data will be permanently removed within 30 days per our policy.,6050,0,billing_team,0,1,PERSON;EMAIL_ADDRESS,2025-11-19T12:29:39,0,agent_corrected,bitext,KB-11;KB-18,1,2028-11-18,en
TKT-00434,2025-05-04T12:29:39,2025-05-04T17:46:48,email,ProPlan,returns,exchange_request,medium,closed,I want to return this but your website says the 30-day return window has expired. Can you help?,Your refund was processed on our end. It may be delayed by your bank. Here's your refund confirmation number.,19029,1,,0,0,,2025-05-04T12:29:39,0,,internal,KB-20;KB-11,1,2028-05-03,en
